ID,Date_birth,Date_driving_licence,Premium,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Length,Weight
12357,1951-01-29,1970-02-23,56.87,75,1461,19808.23,4,D,4.282,1319
12516,1955-05-31,1983-04-13,50.51,115,1560,20950.0,5,D,4.358,1269
12522,1946-11-14,1989-08-05,45.86,100,999,11765.0,5,P,4.157,1190
12591,1956-05-16,1975-09-26,78.85,130,1998,23180.0,5,D,4.731,1418
12635,1956-08-02,1979-06-01,72.78,110,1560,24875.3,5,D,4.47,1414
12672,1957-04-12,1976-01-01,69.07,100,1560,23185.0,5,D,4.384,1360
12751,1988-07-21,2006-11-30,76.43,100,1598,21499.99,5,P,4.39,1410
12819,1958-03-06,1977-05-11,42.83,75,1388,13900.0,3,P,4.174,1075
12833,1958-11-04,1980-11-04,55.27,100,1596,16250.0,5,P,4.174,1096
12954,1960-10-15,1978-11-19,70.26,115,2197,22357.65,5,P,4.355,1520
12954,1960-10-15,1978-11-19,66.33,115,2197,22357.65,5,P,4.355,1520
12954,1960-10-15,1978-11-19,63.75,115,2197,22357.65,5,P,4.355,1520
13188,1962-05-24,1981-02-26,72.27,125,1199,16200.0,5,P,4.316,1387
13418,1965-03-27,1984-06-22,66.73,130,1956,26600.0,5,D,4.658,1658
13514,1965-12-14,1987-04-15,72.7,110,1896,23349.32,3,D,4.152,1255
13530,1965-05-01,1997-04-22,57.94,81,1995,39300.0,5,D,4.58,1430
13668,1968-07-07,1986-11-01,74.8,136,2477,32236.64,4,D,5.075,1880
13931,1971-12-05,1991-10-31,62.77,110,1969,45219.5,5,D,4.688,1764
13936,1971-09-13,1989-11-21,80.99,125,1199,15329.99,5,P,4.315,1202
14344,1977-06-13,1998-01-20,65.74,75,1422,14600.0,5,P,4.232,1165
14420,1978-10-07,1999-12-01,76.84,90,1560,19970.0,3,D,4.211,1243
14816,1982-01-30,2002-07-17,62.99,90,1461,13380.0,5,D,4.089,1090
14854,1981-03-12,2001-03-12,43.54,143,1968,40270.0,5,D,4.721,1630
15100,1987-06-24,2007-09-11,53.74,143,1968,33190.0,4,D,4.701,1480
15110,1985-11-01,2003-11-10,60.67,105,1896,20000.0,5,D,4.315,1250
15403,1991-12-03,2010-12-27,53.59,120,1598,19415.0,3,D,4.063,1205
15500,1965-12-05,1984-07-10,71.05,98,1390,14600.0,5,P,3.792,1160
15572,1943-03-17,1963-01-15,74.29,90,1396,16190.0,5,P,4.1,1178
15714,1950-08-19,1969-02-18,74.48,107,4400,42185.0,5,D,4.355,4800
15714,1950-08-19,1969-02-18,74.48,107,4400,42185.0,5,D,4.355,4800
15714,1950-08-19,1969-02-18,74.85,107,4400,42185.0,5,D,4.355,4800
15856,1956-08-26,1988-11-21,69.02,100,1995,21559.54,5,D,4.317,1428
16088,1962-10-20,1980-11-06,71.58,110,1199,19150.0,5,P,3.996,1125
16312,1963-04-09,1983-01-01,47.71,82,1199,16590.0,5,P,3.965,1040
16490,1943-08-15,1964-02-18,64.15,82,1461,14370.0,5,D,3.995,1095
16510,1949-02-17,1970-05-29,62.16,88,1493,13050.0,5,D,3.825,1112
16603,1949-04-21,1967-10-07,71.34,111,1995,28099.37,5,D,4.097,1335
16693,1946-04-19,1964-09-26,58.79,115,2498,32580.87,4,D,4.72,1495
17025,1959-08-04,1978-03-15,62.88,90,1560,24235.01,4,P,4.384,1374
17559,1971-01-18,1989-07-06,54.88,90,1781,13594.44,5,P,4.33,1065
17610,1974-06-15,1993-01-07,71.0,105,1598,17270.0,5,P,4.149,1057
17918,1955-01-06,1976-10-10,65.14,100,1896,14206.0,5,D,3.953,1165
18214,1982-08-26,2003-02-12,53.99,80,1299,14260.0,5,P,3.999,1105
18234,1991-04-25,2013-04-01,41.52,90,1753,17610.0,5,D,4.555,1600
18383,1977-08-02,2000-12-01,45.35,122,1995,26000.0,5,D,4.227,1310
18387,1974-11-06,1997-01-13,46.44,90,1870,25574.0,5,D,5.182,1725
18552,1959-04-09,1985-03-01,77.78,110,1560,25637.72,5,D,4.47,1499
18686,1959-11-30,1996-04-02,78.48,90,2184,14905.1,5,D,4.184,1330
18759,1965-02-28,1983-03-22,67.74,75,1991,27625.0,5,D,4.273,1360
19295,1956-10-24,1993-10-27,49.9,90,1461,19400.0,5,D,4.213,1319
19643,1985-12-04,2007-10-07,47.72,100,1994,18811.68,5,D,4.48,1410
19899,1965-10-04,1984-07-13,43.83,90,1598,28090.0,3,D,4.397,1539
20000,1966-01-15,1985-07-18,81.48,90,1997,17280.0,5,D,4.137,1311
20089,1968-10-28,1990-09-18,79.18,90,1896,14270.08,4,D,4.14,1170
20100,1969-05-06,1987-07-03,74.09,100,1390,16295.0,5,P,4.209,1165
20119,1968-08-30,2000-01-20,66.46,120,1360,17020.0,5,P,4.26,1182
20833,1981-12-04,2000-05-26,57.37,140,1968,24320.0,3,D,4.204,1281
20967,1982-07-18,2009-04-23,76.36,110,1582,24015.0,5,D,4.585,1310
21248,1986-05-03,2004-12-20,49.12,100,1896,15386.0,5,D,3.953,1165
21396,1989-03-28,2010-03-01,70.05,75,1560,19100.0,5,D,3.996,1161
