Premium,Power,Cylinder_capacity,Value_vehicle,N_doors,Length,Weight,Age,Driving_experience,FuelType_D,FuelType_P
416.5,140,1968,24550.0,5,4.467,1469,59,36,1,0
730.16,125,1399,23425.0,5,4.37,1278,58,25,0,1
600.47,100,1896,16566.0,5,3.953,1165,57,16,1,0
319.79,133,1996,22568.0,5,4.732,1780,52,32,0,1
328.16,245,2993,72900.0,5,4.877,2075,50,15,1,0
279.09,100,1596,17360.0,4,4.382,1131,80,59,0,1
283.97,75,1598,12525.09,5,4.11,1150,48,28,0,1
288.0,105,1597,17095.0,5,4.184,1197,69,44,0,1
361.54,102,1896,26221.8,5,5.29,1785,69,46,1,0
410.93,90,1998,17729.86,5,4.34,1370,64,46,1,0
315.56,110,1997,22890.0,5,4.522,1545,61,37,1,0
320.65,110,1587,17805.0,5,4.188,1141,60,37,0,1
270.06,136,1997,26150.0,5,4.47,1581,54,35,1,0
356.68,140,1968,30930.0,4,4.765,1476,55,37,1,0
534.05,114,1560,25550.0,5,4.295,1380,42,24,1,0
367.45,100,1870,20552.84,5,4.782,1677,61,30,1,0
385.52,99,1560,17470.0,4,4.427,1165,38,20,1,0
278.92,115,1910,23981.5,4,4.466,1310,52,28,1,0
281.07,115,1753,20870.0,5,4.454,1272,49,25,1,0
240.74,100,1753,19220.0,5,4.174,1241,63,27,1,0
293.66,100,1995,23239.54,5,4.317,1428,54,17,1,0
259.84,136,2164,27392.93,4,4.61,1395,84,42,0,1
500.99,136,3908,29441.66,2,6.545,2330,36,18,1,0
445.07,116,1496,28500.0,5,4.342,1365,64,40,1,0
410.93,95,1397,17950.0,5,4.329,1200,56,36,0,1
287.42,110,1560,23540.0,3,4.274,1205,56,37,1,0
522.15,110,1896,26850.0,3,4.286,1335,56,37,1,0
433.46,110,1197,19340.0,3,4.135,1236,56,37,1,0
219.53,90,1997,18943.0,5,4.276,1300,55,36,1,0
336.26,75,1390,13390.0,6,3.995,1065,62,44,0,1
297.93,105,1461,19445.0,5,4.209,1205,71,20,1,0
217.18,90,1997,18840.0,5,4.419,1328,51,33,1,0
337.89,150,1910,25270.0,5,4.596,1480,43,20,1,0
280.79,92,1560,17740.0,5,4.26,1182,54,35,1,0
361.76,110,1753,16410.0,4,4.308,1581,55,34,1,0
358.35,110,1896,11839.94,4,4.207,1135,55,34,1,0
525.83,90,1598,18000.65,5,4.052,1095,65,45,1,0
438.89,130,1896,27450.0,4,4.703,1387,60,42,1,0
282.85,109,1997,18670.0,5,4.44,1400,60,20,1,0
365.41,101,1896,15850.0,4,4.232,1175,55,36,1,0
376.19,90,1896,18550.0,5,4.315,1290,27,6,1,0
389.0,75,1753,14570.0,5,4.174,1283,55,31,1,0
357.68,75,2496,32394.55,5,4.479,1460,55,31,1,0
272.13,90,1689,20323.22,5,3.58,1095,41,10,1,0
519.16,90,1582,17690.0,3,4.25,1283,38,19,1,0
337.42,120,1598,18931.88,4,4.43,1305,42,22,0,1
289.64,75,1360,15300.0,5,3.85,1039,77,37,0,1
244.98,75,1686,16370.0,5,4.249,1275,74,55,0,1
294.37,100,1595,17651.73,3,4.149,1171,72,52,0,1
342.71,122,2148,22562.0,4,4.66,1630,70,52,1,0
266.2,100,1596,14123.78,3,4.174,1189,64,43,0,1
222.68,100,1896,15736.0,3,3.953,1165,64,43,0,1
286.35,117,1598,20000.0,5,4.33,1297,63,31,0,1
337.95,100,1896,16179.95,5,3.953,1169,59,29,1,0
183.02,140,1364,23100.0,5,4.271,1355,39,19,0,1
313.38,110,2488,28467.59,2,5.188,1655,63,21,1,0
