Premium,Value_vehicle,Length,Weight,Age,Driving_experience
298.64,23460.0,4.5,1495,40,20
296.76,19790.0,4.202,1243,74,50
452.23,23540.0,4.274,1205,33,14
311.25,45400.0,4.877,1735,71,45
263.68,28074.48,4.755,1310,68,38
438.56,13716.3,3.815,1050,68,28
320.03,20436.88,4.89,1665,68,49
324.27,24658.97,4.234,1270,67,48
336.21,20300.0,4.749,1755,66,39
431.57,28070.0,6.919,2068,64,45
595.19,31800.0,4.295,1585,64,45
276.29,13450.65,4.12,1225,61,35
292.17,15416.0,4.82,1689,61,38
307.06,14700.0,4.495,1357,60,41
271.7,16894.45,4.48,1386,59,40
390.19,15280.0,4.11,1165,28,6
223.15,22100.0,4.081,1251,28,6
330.07,23750.0,4.276,1318,55,33
349.89,19379.0,4.188,1200,56,35
346.51,14980.0,3.916,1127,55,37
289.56,16000.0,4.315,1205,56,37
242.37,15938.84,4.167,1151,54,35
297.79,20314.21,4.149,1316,55,28
283.51,18950.54,4.31,1365,53,34
345.85,19295.0,4.03,1205,48,22
312.8,26100.0,4.384,1398,47,29
299.48,25800.0,4.83,1538,46,26
232.01,27940.0,4.365,1350,47,27
312.43,28109.99,4.842,1538,47,29
333.72,24235.01,4.384,1374,48,15
404.9,16411.0,3.953,1192,39,21
255.16,12573.17,4.49,1505,37,18
334.03,33297.45,4.393,1505,39,20
303.14,19090.0,4.342,1406,47,29
132.67,22410.0,4.419,1421,42,18
451.41,27350.0,5.182,1724,84,60
291.53,12705.0,3.916,1021,43,23
529.54,25390.0,4.676,1437,65,47
358.84,20860.0,4.333,1344,81,61
319.16,43700.0,4.818,1495,61,29
254.9,16060.0,4.342,1242,70,51
333.46,13110.0,3.916,1068,70,51
181.34,14500.0,3.734,1061,53,34
369.47,26680.0,4.899,1837,51,30
282.75,14850.0,3.916,1053,44,25
260.27,13450.65,4.12,1225,83,48
481.35,12561.15,4.174,1077,81,31
234.11,9772.46,4.074,1081,84,42
489.01,23222.87,4.835,1906,83,63
390.69,16350.0,4.065,1105,83,59
230.94,25690.0,4.214,1340,83,64
347.58,15475.0,3.635,1065,80,61
291.69,15450.0,3.995,1120,83,56
229.91,26308.0,4.618,1385,81,57
317.08,11268.98,4.074,1107,80,38
437.17,27600.0,4.239,1320,80,61
519.13,32850.0,4.66,1929,78,60
190.61,18505.01,4.12,1178,79,56
274.66,13754.49,4.11,1088,82,52
247.32,22297.55,4.635,1975,80,59
1066.45,50770.0,4.77,1870,78,52
